Date,Price,EB
2022-02-21,37033.59587778,2644528.35782335
2022-02-22,38252.61849968,2640353.96696236
2022-02-23,37275.1117658,2640975.81601629
2022-02-24,38362.19223422,2642119.21834499
2022-02-25,39241.70523916,2647433.53177685
2022-02-26,39109.77529934,2649885.82315219
2022-02-27,37718.90468088,2648190.77662061
2022-02-28,43185.32286758,2644216.26742624
2022-03-01,44438.76510975,2650553.60971632
2022-03-02,43909.7925171,2645039.19316978
2022-03-03,42470.70294197,2650011.1325175
2022-03-04,39159.17776676,2646392.13442055
2022-03-05,39408.88987976,2645391.73158518
2022-03-06,38418.57625729,2644198.995616
2022-03-07,38001.87026469,2647544.90635038
2022-03-08,38739.76972091,2634873.12633947
2022-03-09,41954.37910172,2642991.47356166
2022-03-10,39437.08452482,2639185.51977404
2022-03-11,38735.56370501,2635730.75168193
2022-03-12,38808.68426045,2634919.15241518
2022-03-13,37785.20535542,2637867.63638195
2022-03-14,39677.88899782,2640291.52692004
2022-03-15,39298.58624285,2640342.76885014
2022-03-16,41129.75046644,2639785.68093683
2022-03-17,40940.08657969,2639553.69036041
2022-03-18,41774.98842459,2640821.45550713
2022-03-19,42225.60799849,2643433.56588236
2022-03-20,41281.83524952,2643560.25632375
2022-03-21,41022.14031193,2637295.59700261
2022-03-22,42378.70713893,2644535.62259713
2022-03-23,42897.84394792,2645994.77107845
2022-03-24,44006.80508426,2648755.53779526
2022-03-25,44331.43885207,2650058.54903928
2022-03-26,44534.80758492,2653557.01846078
2022-03-27,46847.71727318,2650391.63477844
2022-03-28,47145.14057486,2643810.88712623
2022-03-29,47450.83092512,2635279.36889083
2022-03-30,47077.18148616,2633287.05449513
2022-03-31,45525.17096851,2629409.37526923
2022-04-01,46299.67702161,2622664.53328108
2022-04-02,45828.69434284,2623359.29244108
2022-04-03,46408.82697055,2622429.95370047
2022-04-04,46596.88515653,2625789.76968672
2022-04-05,45503.18815391,2627679.09467999
2022-04-06,43176.84218849,2625383.07391108
2022-04-07,43442.46969036,2630974.51964625
2022-04-08,42260.49516375,2632119.94799964
2022-04-09,42771.75119548,2635062.97967834
2022-04-10,42175.42958957,2635917.17813206
2022-04-11,39534.41344663,2637098.04696858
2022-04-12,40080.89327952,2635085.57102147
2022-04-13,41151.86645498,2636751.61194813
2022-04-14,39944.31160945,2642616.28070967
2022-04-15,40545.47153614,2636270.99240782
2022-04-16,40386.98753653,2638430.52391778
2022-04-17,39689.14983677,2639857.59615931
2022-04-18,40811.13333187,2641735.12972533
2022-04-19,41502.82792086,2635650.02122355
2022-04-20,41369.79836853,2635616.00218831
2022-04-21,40488.61024511,2630726.3467089
2022-04-22,39708.8776107,2627480.83398469
2022-04-23,39451.64200134,2626622.5113832
2022-04-24,39461.74457773,2620295.97761265
2022-04-25,40438.43365985,2623517.80423437
2022-04-26,38111.74642594,2612860.05514367
2022-04-27,39242.58488776,2609134.74302017
2022-04-28,39745.01396402,2600569.20896148
2022-04-29,38592.98934205,2606117.6137808
2022-04-30,37636.60816242,2608133.31782842
2022-05-01,38470.93792524,2612907.60143932
2022-05-02,38512.43978271,2607341.85190232
2022-05-03,37723.29276435,2610472.34689388
2022-05-04,39677.68275894,2617580.00129587
2022-05-05,36544.40777806,2625913.69880526
2022-05-06,36002.5773188,2620296.00158736
2022-05-07,35465.72692242,2620626.36588839
2022-05-08,34038.43980772,2631156.91189702
2022-05-09,30083.57233581,2667636.07394337
2022-05-10,31006.85487068,2674795.73055072
2022-05-11,28977.74491311,2678216.87950581
2022-05-12,28957.81555642,2667405.03847797
2022-05-13,29238.61679663,2666670.07382558
